commit_id,commit_date,commit_content,commit_author,commit_type
44634982a103a696d18619346756b1adaf3dbfd9,Sun May 21 00:00:00 EDT 2017,improved modello and animal sniffer's execution ids,Herv� Boutemy,commit
757f5fff6c5c9e3cf6cbee429801f75768fea74c,Wed May 17 00:00:00 EDT 2017,MNG-6233 don't mix plexus and jsr330 annotations in aether-provider Signed-off-by: Igor Fedorenko <ifedorenko@apache.org> ,Igor Fedorenko,commit
ecef59f1cb822e48c63215fa7dd0c8f4fd54d6af,Tue May 16 00:00:00 EDT 2017,[MNG-6167] Clean up dependency mess (reported by dependency:analyze) Clean up compile and runtime dependencies. Test dependencies have not been touched because their seem to be false positives due to DI. ,Michael Osipov,commit
e6d5d55801d7b525d2263255380507b7772af829,Mon May 15 00:00:00 EDT 2017,[MNG-6130] Lost of profile information in workaround for MNG-4900 Submitted-by: Boris Brodski <Brodsky_Boris@yahoo.com> ,Michael Osipov,commit
c7cc7b3ae6e7568d1f81c443736e587dd4e71a45,Fri May 12 00:00:00 EDT 2017,[MNG-6169] Lifecycle/binding plugin version updates ,Christian Schulte,commit
4feb0a27038cd23b2ff7744b8dd4c1eb17049041,Fri May 12 00:00:00 EDT 2017,[MNG-5935] Optional true getting lost in managed dependencies when transitive Updated to correctly map the optional flag of Maven model dependencies to Aether dependencies. Prior to this change all managed dependencies implicitly had the optional flag set to 'false' leading to Aether managing that flag to 'false' on all managed dependencies when transitive. ,Christian Schulte,commit
fb5566c087340044837a513898ae46e5f45bc998,Fri May 12 00:00:00 EDT 2017,[MNG-6228] Optionality not displayed in dependency tree when run in debug mode Log message in DefaultProjectDependenciesResolver has been extended with "(optional)" if dependency is marked as optional (direct or transitive). ,Michael Osipov,commit
62532143f6f010a57d32130025a21dca29210455,Fri May 12 00:00:00 EDT 2017,[MNG-6186] use enhanced HawtJNI library loading (remove previous hack),Herv� Boutemy,commit
605ff23e62a3efdaf2cdf4d44207d4f2253bc38b,Fri May 12 00:00:00 EDT 2017,[MNG-6205] upgraded JAnsi to 1.16 for console encoding fix also fixes MNG-6218 MinGW bash detection fixed by JAnsi 1.14,Herv� Boutemy,commit
08d6cbfdeaeef1a87c051fd52e6db5c18fea5742,Fri May 12 00:00:00 EDT 2017,[MNG-6223] support -f path/to/dir when detecting .mvn,Herv� Boutemy,commit
bf05ee15c5fb2f6d77f074113e807924b72231c8,Fri May 12 00:00:00 EDT 2017,Add a ProjectArtifactsCache similar to PluginArtifactsCache Signed-off-by: Jason van Zyl <jason@vanzyl.ca> closes #82 ,Anton Tanasenko,commit
b9d46b53d6b27f2c38650e6301f03de805acf4c6,Fri May 12 00:00:00 EDT 2017,[MNG-6149] MetadataResolutionResult#getGraph() never resolves request type 'test' ,Michael Osipov,commit
756d984886d4ca2094d3f66978578c958c2d6c90,Fri May 12 00:00:00 EDT 2017,Doc improvement in simplelogger.properties ,Michael Osipov,commit
87280cdba69fe9fcdb50ecb55d984da955b56e00,Fri May 12 00:00:00 EDT 2017,MNG-6210 allow maven custom guice scopes in .mvn/extensions Signed-off-by: Igor Fedorenko <ifedorenko@apache.org> ,Igor Fedorenko,commit
dcc126590da0ec48a82b6cd127c148651754952f,Fri May 12 00:00:00 EDT 2017,MNG-6209 better executeMojo thread context classloader Signed-off-by: Igor Fedorenko <ifedorenko@apache.org> ,Igor Fedorenko,commit
5f8bfa74df694bff948aaaf7b5cd0e93a577a0ba,Fri May 12 00:00:00 EDT 2017,use "java -jar" command,Herv� Boutemy,commit
244197c8c5f226fa9249148cc3fc3ded98b2360f,Fri May 12 00:00:00 EDT 2017,improved description of styled message API,Herv� Boutemy,commit
0a2f2226878ba610818a1f2d84cd7edfdf0d88d3,Fri May 12 00:00:00 EDT 2017,Update the DOAP to include the 3.5.0 release ,Stephen Connolly,commit
4494aafbdb5ef550f81978f9a18f65073cef57ca,Fri May 12 00:00:00 EDT 2017,Minor cleanup in MavenCli.java There is some unnecessary code in the MavenCli.java from line #1465 to #1474. The functionality has been moved to line #1215. Signed-off-by: Karl Heinz Marbaise <khmarbaise@apache.org> ,Stefan Eicher,commit
35cfaeff4f6a55478cceca93cf3a9ba2f8cc17fb,Fri May 12 00:00:00 EDT 2017,[maven-release-plugin] prepare for next development iteration ,Stephen Connolly,commit
5787c0b9746bf026c73f8551dfc2cf5e4410ef29,Fri May 12 00:00:00 EDT 2017,[maven-release-plugin] prepare release maven-3.5.0 ,Stephen Connolly,commit
5b3c27c917e378c58732635905e201531648f2b9,Fri May 12 00:00:00 EDT 2017,Added some javadoc Added javadoc help for making easier to compare two versions in command line.,LuboVarga,commit
ae088cffd7c321e1ca2371a801bbb5ac6ee77589,Thu May 11 00:00:00 EDT 2017,[MNG-6169] Lifecycle/binding plugin version updates ,Christian Schulte,commit
82eb7ac8dbe738176993b37daae6b38e42353347,Thu May 11 00:00:00 EDT 2017,[MNG-6169] Lifecycle/binding plugin version updates ,Christian Schulte,commit
fd5d2d68fffed8633cceecd3ff079ee0ea449e07,Thu May 11 00:00:00 EDT 2017,[MNG-5567] Zip files are not included in classpaths at all By definition of the classpath [1]  JAR and Zip files are valid compressed files. Zips are likely to contain resources shared around. This totally relieves of unpacking stuff and readding to the classpath and support what the JVM provided by defeault. Sharing resources will just work. [1] http://docs.oracle.com/javase/8/docs/technotes/tools/windows/classpath.html#A1100592 ,Michael Osipov,commit
0105c697f215a3dc79344f8f262b862da731cf2d,Wed May 10 00:00:00 EDT 2017,[MNG-5227] The 'optional' flag of a dependency should be manageable Updated to add missing management of the optional flag to the ModelBuilder. The Maven Resolver has been managing the optional flag for years. This just adds the missing parts to the ModelBuilder to make optional flag management consistent when building the effective model no matter if resolved or if built. ,Christian Schulte,commit
f4ede96fd06c8d3e1e2b2fb679baec058cce30e1,Wed May 10 00:00:00 EDT 2017,[MNG-5935] Optional true getting lost in managed dependencies when transitive Updated to correctly map the optional flag of Maven model dependencies to Aether dependencies. Prior to this change all managed dependencies implicitly had the optional flag set to 'false' leading to Aether managing that flag to 'false' on all managed dependencies when transitive. ,Christian Schulte,commit
fd988e78e95a53c3a39ec944869ba62b0c7fc0f0,Tue May 09 00:00:00 EDT 2017,[MNG-6228] Optionality not displayed in dependency tree when run in debug mode Log message in DefaultProjectDependenciesResolver has been extended with "(optional)" if dependency is marked as optional (direct or transitive). ,Michael Osipov,commit
6182a2083fdb9964ccb5250fb85223e38485bf04,Tue May 09 00:00:00 EDT 2017,[MNG-6186] use enhanced HawtJNI library loading (remove previous hack),Herv� Boutemy,commit
2a79d1e71edc0ddd0c0ba1612ce520f43961eef2,Tue May 09 00:00:00 EDT 2017,[MNG-6205] upgraded JAnsi to 1.16 for console encoding fix also fixes MNG-6218 MinGW bash detection fixed by JAnsi 1.14,Herv� Boutemy,commit
2d4401557c3c870409e8b1c65d2dcc9a68281cae,Tue May 09 00:00:00 EDT 2017,[MNG-6223] support -f path/to/dir when detecting .mvn,Herv� Boutemy,commit
be223808939d75152d7157db33d45f230114555e,Fri May 05 00:00:00 EDT 2017,Add a ProjectArtifactsCache similar to PluginArtifactsCache Signed-off-by: Jason van Zyl <jason@vanzyl.ca> closes #82 ,Anton Tanasenko,commit
f7d4bce23324cd4a318486d8715a128cf7436c3a,Fri Apr 21 00:00:00 EDT 2017,[MNG-6149] MetadataResolutionResult#getGraph() never resolves request type 'test' ,Michael Osipov,commit
3938817fd3e0ad62efe335307406e70bff876834,Fri Apr 21 00:00:00 EDT 2017,Doc improvement in simplelogger.properties ,Michael Osipov,commit
c2c6259de6f1262d9b31509b8c30844a386a4f29,Fri Apr 14 00:00:00 EDT 2017,MNG-6210 allow maven custom guice scopes in .mvn/extensions Signed-off-by: Igor Fedorenko <ifedorenko@apache.org> ,Igor Fedorenko,commit
ec629f7d511eb910b4e80112a9fbe85ed8786f10,Thu Apr 13 00:00:00 EDT 2017,MNG-6209 better executeMojo thread context classloader Signed-off-by: Igor Fedorenko <ifedorenko@apache.org> ,Igor Fedorenko,commit
567af0d964cf823b275300aa4671b84a28da5baa,Tue Apr 11 00:00:00 EDT 2017,use "java -jar" command,Herv� Boutemy,commit
6a93bbea23e362c9cea7d710a37556258c2dbd47,Tue Apr 11 00:00:00 EDT 2017,Improve Javadoc of ComparableVersion#main() This closes #108 ,Lubomir Varga,commit
08f3c76a09601d85503c35743458d977a92e492d,Sat Apr 08 00:00:00 EDT 2017,improved description of styled message API,Herv� Boutemy,commit
70eabfe0f2bc5fe85b666ca511ec35574b23d32f,Fri Apr 07 00:00:00 EDT 2017,Update the DOAP to include the 3.5.0 release ,Stephen Connolly,commit
4c6d3a3462783507921d1a0100e3fa22ef8a98e4,Wed Apr 05 00:00:00 EDT 2017,Minor cleanup in MavenCli.java There is some unnecessary code in the MavenCli.java from line #1465 to #1474. The functionality has been moved to line #1215. Signed-off-by: Karl Heinz Marbaise <khmarbaise@apache.org> ,Stefan Eicher,commit
a4b0b63b62533399878c9de0656f88f100a46aa0,Mon Apr 03 00:00:00 EDT 2017,[maven-release-plugin] prepare for next development iteration ,Stephen Connolly,commit
ff8f5e7444045639af65f6095c62210b5713f426,Mon Apr 03 00:00:00 EDT 2017,[maven-release-plugin] prepare release maven-3.5.0 ,Stephen Connolly,commit
323298bdb4827f89d4a13e4d5a25b338e4726c54,Sun Apr 02 00:00:00 EDT 2017,[MNG-6169] Lifecycle/binding plugin version updates ,Christian Schulte,commit
87cf1eeb7d2506e192da77f7d5b286fae2b20314,Sat Apr 01 00:00:00 EDT 2017,[MNG-6198] Use the directory specified by -f for searching with 'mvn' ,Stephen Connolly,commit
96543b7c6ea52ad7ba3bcd559c38b159f8aa4c0d,Sat Apr 01 00:00:00 EDT 2017,[MNG-6195] Tidy up quoting and command substitution ,Stephen Connolly,commit
00c82b7e234c6ed33f76ba48a236130c5511ab3a,Wed Mar 29 00:00:00 EDT 2017,Squashed commit of the following: commit 049228ce76927a6740500e1b750f0e8f201f2478 Author: rfscholte <rfscholte@apache.org> Date:   Mon Mar 27 20:22:46 2017 +0200     [MNG-6185] Replace doclettag explanation with annotations in AbstractMojo javadoc     Fix by Checkstyle reported issues commit 63796a649e6e3b25a58fb567d354ca1849f48819 Author: rfscholte <rfscholte@apache.org> Date:   Sat Mar 25 23:15:00 2017 +0100     [MNG-6185] Replace doclettag explanation with annotations in AbstractMojo javadoc ,rfscholte,commit
0baa42345283f4fea3938a8ccd7c8e12b34203b1,Tue Mar 28 00:00:00 EDT 2017,use new "Maven 3 (latest)" and "JDK 1.x (latest)" Ubuntu+win aliases,Herv� Boutemy,commit
94c3b600ec3290cda98a66c108ff021b7c4c482e,Tue Mar 28 00:00:00 EDT 2017,switch to embedded core ITs run for faster result,Herv� Boutemy,commit
ad514f5cb55d16ca116c5c529ad48dd32d5bac61,Tue Mar 28 00:00:00 EDT 2017,added CORE_IT_PROFILES parameter,Herv� Boutemy,commit
16805f50ea1715c42ad59312f3e64ab70af3acfe,Tue Mar 28 00:00:00 EDT 2017,trying to make Jenkinsfile easier to understand,Herv� Boutemy,commit
33c8d8efe9410e134080bd979a7df82de80bcf74,Mon Mar 27 00:00:00 EDT 2017,INFRA have been changing JDK labels again ,Stephen Connolly,commit
8400984ac5201ae6bf06bfa88ade8a8468c76634,Sat Mar 25 00:00:00 EDT 2017,[MNG-6112] Central repository in the 4.0.0 super POM should declare update policy 'never'. This reverts commit 13adc1bc2b6d9fc3a62ec2389996726c2edce4d8 *not changing anything* just because someone did not react in time when this issue had been lying around on a branch. If we would set pace for the industrie  everyone would still be using 5.25" floppy disks and 8 bit hardware and we would tell them that upgrading to be able to use new software would be too risky and they better keep theire broken assembly routines until the machine goes up in smoke. ,Christian Schulte,commit
0931bb2cc7630cc79adb98407db13315b4a709ee,Fri Mar 24 00:00:00 EDT 2017,[MNG-6168] Fix unclosed streams ,Christian Schulte,commit
f0535a40e2dba47f00c5469941d3edad2a8effef,Thu Mar 23 00:00:00 EDT 2017,[MNG-6192] upgraded m-assembly-p to get ordered entries in zip,Herv� Boutemy,commit
27ab7503a7196a40b5ed1007181c82cdcf11e03c,Tue Mar 21 00:00:00 EDT 2017,[MNG-6190] maven-resolver-provider's DefaultArtifactDescriptorReader has mismatched constructor and initService methods ,Christian Schulte,commit
13adc1bc2b6d9fc3a62ec2389996726c2edce4d8,Mon Mar 20 00:00:00 EDT 2017,[MNG-6112] Central repository in the 4.0.0 super POM should declare update policy 'never'. ,Christian Schulte,commit
d54e6f91a8652cdda61a20f051f97f11d4c3c982,Mon Mar 20 00:00:00 EDT 2017,s/@since 3.5.0-alpha-2/@since 3.5.0/g ,Christian Schulte,commit
fd29ddebf980b895ca3a1665aec49b3c7d17eeaf,Mon Mar 20 00:00:00 EDT 2017,[maven-release-plugin] prepare for next development iteration ,Stephen Connolly,commit
214540c2ae5431645bb927d6dc5498ebafc27359,Mon Mar 20 00:00:00 EDT 2017,[maven-release-plugin] prepare release maven-3.5.0-beta-1 ,Stephen Connolly,commit
68e38e5086d0978c61391b7cdc4514fdf96e64d7,Sun Mar 19 00:00:00 EDT 2017,Make it possible to run unit tests from an IDE ,Stephen Connolly,commit
16382802611939a8876fe553208e8b0f4da606a6,Sun Mar 19 00:00:00 EDT 2017,[MNG-6189] warn if maven-site-plugin reportPlugins is configured,Herv� Boutemy,commit
abca6ab6e2508860fb30d6e51b668c6c513e3d9e,Sun Mar 19 00:00:00 EDT 2017,Merge remote-tracking branch 'origin/MNG-6182' ,Stephen Connolly,commit
fea81d8a2710350c3517f0046e820893abd6cc77,Sun Mar 19 00:00:00 EDT 2017,fixed site generation: downgraded parent pom  upgraded m-assembly-p,Herv� Boutemy,commit
a4157428d756e2189cddaddf0690ff070bb74d52,Sun Mar 19 00:00:00 EDT 2017,updated parent pom: fixes issue with m-assembly-p bug,Herv� Boutemy,commit
f1ccecdd893eea0a320634a49bc6e56b776fb213,Sat Mar 18 00:00:00 EDT 2017,[MNG-6182] ModelResolver interface enhancements. o Added unit tests for the 'ModelResolver' interface. ,Christian Schulte,commit
55eeb325cd0ddb2a093196f4804e232d45bcc54a,Sat Mar 18 00:00:00 EDT 2017,[MNG-6176] Upgrade findbugs to 3.0.4 so that the site can be built with Java 7 and 8 ,Stephen Connolly,commit
b12905ce02ec0e58b475bbc1d920a6801224c02f,Sat Mar 18 00:00:00 EDT 2017,[MNG-6176] Fix javadoc *errors* in maven-compat ,Stephen Connolly,commit
52eecc406fdf37c1aec46ea31ab00978ed290a57,Sat Mar 18 00:00:00 EDT 2017,MNG-6078: commons-cli 1.4 released ,rfscholte,commit
f661fc298e80208911838f5acce9840ea1a97e3f,Sat Mar 18 00:00:00 EDT 2017,[MNG-6078] Confirm commons-cli 1.4-SNAPSHOT before official release ,rfscholte,commit
0e7e3eeb597b92f1394b24e33d5933e995ee8104,Sat Mar 18 00:00:00 EDT 2017,[MNG-6176] Javadoc errors prevent release with Java 8 Upgrade to modello-1.9.1 Fix javadoc errors in tests ,rfscholte,commit
da03d6b03192399237750c15f96fa021977dd83b,Tue Mar 14 00:00:00 EDT 2017,[MNG-6183] Dependency management debug message corrections. ,Christian Schulte,commit
51cc76c32625be2f807dcf2ffbeb085984729b57,Mon Mar 13 00:00:00 EDT 2017,[MNG-6090] CI friendly properties break submodule builds [MNG-6057] Problem with CI friendly usage of ${..} reactor order is changed  o Based on the missing replacement of the versions ${revision}    ${changelist} or ${sha1} within the parent element the order    of the reactor changes. [MNG-5895] Problem with CI friendly usage of ${..} which is already defined via property in pom file. ,Karl Heinz Marbaise,commit
10a18cfee7a981a41c1f571ef3c60138d40e839e,Mon Mar 13 00:00:00 EDT 2017,Added some javadoc Added javadoc help for making easier to compare two versions in command line.,LuboVarga,commit
181b0215aa1199e152db9d2c08b1a01436547805,Sun Mar 12 00:00:00 EST 2017,[MNG-6115] prevent JAnsi from writing temp native files to lib/ext,Herv� Boutemy,commit
809ba34055c70eab31876aad03c577e925fa2e6e,Sat Mar 11 00:00:00 EST 2017,Code improvement. ,Karl Heinz Marbaise,commit
ab2e24fe3612b4f12c66e698e398fcb2b908f1aa,Sat Mar 11 00:00:00 EST 2017,Fixed checkstyle reported error. ,Karl Heinz Marbaise,commit
24b9ef48f6045c3cca7297f4b7b94d3ee71b3718,Sat Mar 11 00:00:00 EST 2017,fixed typos,Herv� Boutemy,commit
7cdff43aba436408c79d2b4afc169b9c6909235a,Sat Mar 11 00:00:00 EST 2017,[MNG-6170] NPE in cases using Multithreaded -T X versions:set -DnewVersion=1.0-SNAPSHOT  o In some cases the code will return a null which should    not be scheduled. ,Karl Heinz Marbaise,commit
587317b0095fc5d51041fed9e5b4786246a29a7b,Fri Mar 10 00:00:00 EST 2017,[MNG-6176] Javadoc errors prevent release with Java 8 Upgrade modello to 1.9.0 Fix invalid Javadoc ,rfscholte,commit
8f025faab8fe0a3a6dbf3b76742fe365f4352e64,Fri Mar 10 00:00:00 EST 2017,[MNG-6180] groupId has plain color when goal fails ,rfscholte,commit
34afec69c866f731f3f9d9b3606bbc31b51d64e7,Wed Mar 08 00:00:00 EST 2017,[MNG-6183] Dependency management debug message enhancements. o Updated to add debug log messages about optional flag management. ,Christian Schulte,commit
ab800b0cfae4e3ca9453304e3b9727ba4a4b712b,Wed Mar 08 00:00:00 EST 2017,[MNG-6182] ModelResolver interface enhancements. ,Christian Schulte,commit
114ef6c5a2802e8758e466af92b70f51fd7a2929,Mon Mar 06 00:00:00 EST 2017,[MNG-6173] MavenSession.getAllProjects() should return all projects in the reactor This commit removes the initialization of the MavenSession object from the DefaultGraphBuilder. The GraphBuilder implementation should only build the graph and should not touch the MavenSession object passed into it. To allow complete initialization of the MavenSession the ProjectDependencyGraph interface got enhanced so that GraphBuilder implementations can communicate all collected projects in addition to the processed list of projects. This closes #105 ,Christoph B�hme,commit
862c84a52b9ae9b88bc9a6cfa256852532d02a9a,Sun Mar 05 00:00:00 EST 2017,Merge branch 'MNG-6181' ,rfscholte,commit
e0da20a1f801aeda0cd74495834c637c3a207478,Sun Mar 05 00:00:00 EST 2017,[MNG-6181] HttpClient produces a lot of noise at debug loglevel Turn off httpclient logging by default  which restores logging from previous Maven versions ,rfscholte,commit
748551d0274cc2eebfb2f976536d18277e564584,Wed Mar 01 00:00:00 EST 2017,[MNG-6179] Remove WARNING about prerequisites usage ,Karl Heinz Marbaise,commit
529e8a62049d009a800cbf0b37ca348abaf9022d,Tue Feb 28 00:00:00 EST 2017,Merge remote-tracking branch 'origin/master' ,Stephen Connolly,commit
0b9a30f350f159a190e87c78e520ba7a7ae0642b,Thu Feb 23 00:00:00 EST 2017,[MNG-6177] The --file command line option of the Windows and Unix launchers does not work for directory names like "Spaces & Special Char" ,Christian Schulte,commit
0db5e32cf59851086e895f1f541853b61df38121,Thu Feb 23 00:00:00 EST 2017,fixed documentation errors,Herv� Boutemy,commit
e6528827571b0ebe06675ef47c8157d1522116a5,Thu Feb 23 00:00:00 EST 2017,[maven-release-plugin] prepare for next development iteration ,Stephen Connolly,commit
8e6bbc4d4aa7cdc837625a05358c98ca15f72698,Thu Feb 23 00:00:00 EST 2017,[maven-release-plugin] prepare release maven-3.5.0-alpha-1 ,Stephen Connolly,commit
dc9c4db4494b62e2231bb67b39678decf6329852,Thu Feb 23 00:00:00 EST 2017,[MNG-6078] Perform a proper merge of the two sources of command line arguments - Needed to extend Commons CLI's CommandLine just to perform the merged ,Stephen Connolly,commit
5885e70e24a69914da892eb343906658d5463bfa,Thu Feb 23 00:00:00 EST 2017,[MNG-6078] Undo the order reversal hack - ca4303031357a7decaee8de770b71fb2c2fedd28 used a hack to reverse the order of arguments - The side effect of the hack is that the first named system property value on the CLI would win - The side-effect is causing a lot of integration test builds to fail and will likely have other unintended consequences - Correct fix is to put system properties at the end. - If this change passes the integration tests then it will need to be augmented to correctly round-trip the CLI options   as there is the potential that somebody may legitimately be passing an arg parameter a value that starts with -D   for example 'mvn -ep -Dsecretpassword' or 'mvn -l -D.log' but given that this requires a parse and unparse   to handle the escaping  I want to get evidence that the integration tests pass first ,Stephen Connolly,commit
5cce371c8aee5d957d9b24e46cddc939a15aff40,Thu Feb 23 00:00:00 EST 2017,Switch to resolveScm so that we get auto linking of matching integration test branches - Also use short paths when integration testing on windows and clean up afterwards to ensure disk space does not overflow ,Stephen Connolly,commit
e6217a455547e5b3bcac310be18daf2a333cd5d1,Sat Feb 18 00:00:00 EST 2017,Fixing misspellings in test names,August Shi,commit
985b5985f336d30b6b2110dae49dd2a5f5d5750b,Sat Feb 18 00:00:00 EST 2017,fixed link,Herv� Boutemy,commit
1407a10485e826795db23c114c4c37cf951a2e27,Sat Feb 18 00:00:00 EST 2017,Updated doap_Maven.rdf file ,Karl Heinz Marbaise,commit
60a7f5da494216168e4cc2c88c357b1cbdd43ad2,Sat Feb 18 00:00:00 EST 2017,Fixed links in pom which pointed to shut down codehaus jira. ,Karl Heinz Marbaise,commit
3982c195e91e3ea0f73ce9e61c6ddc57137726e9,Sat Feb 18 00:00:00 EST 2017,[MNG-6171] always show WARNING about usage of a non threadsafe plugin,Herv� Boutemy,commit
f1cc1d4e5aec96c9bd54219304e1b6b08855b102,Sat Feb 18 00:00:00 EST 2017,[MNG-6140] maven-core depends on shared-utils (not project-utils),Herv� Boutemy,commit
b66bdb9cbc383fd4cc875006afe9fe6d4de26397,Wed Feb 15 00:00:00 EST 2017,[MNG-6150] Javadoc improvements for 3.5.0 * Remove duplicate plugin configuration * Add workaround for Javadoc locale * Clean up errors reported by Javadoc 7 Note: Javadoc 8 fails immediately because Modello generates invalid Javadoc ,Michael Osipov,commit
f8ab2a650f32d5d87126d341d9bbfccbf99fd0ca,Tue Feb 14 00:00:00 EST 2017,[MNG-5889] .mvn directory should be picked when using --file,robert.patrick,commit
19d5b9dfa108a94c0825215a013ac21253cb0a17,Mon Feb 13 00:00:00 EST 2017,[MNG-5297] improved explanations on prerequisites.maven in Maven 3,Herv� Boutemy,commit
0284dda81beb43b54116326f9a6efd439d40c922,Sat Feb 11 00:00:00 EST 2017,[MNG-5968] Default plugin version updates ,Christian Schulte,commit
37fef3d762c8068b876b07b84b83a39cdc3ac5f4,Sat Feb 11 00:00:00 EST 2017,[MNG-5967] Dependency updates ,Christian Schulte,commit
8d91726f7872f4462d9fa085ef5b6f32bfd0a2e1,Sat Feb 11 00:00:00 EST 2017,[MNG-5934] String handling issues identified by PMD ,Alex Henrie,commit
0514c1b14eadae37c9de77af3ed67ed7388bdf1d,Fri Feb 10 00:00:00 EST 2017,[MNG-2199] Support version ranges in parent elements o Updated to fix parent version range resolution broken since 3.2.3 and to   remove parent version range resolution logic obsolete since Maven   3.2.3 which changed the initialization of MavenProject instances. o Updated local parent resolution to behave the same way remote parent   resolution behaves. When referencing a parent using version ranges   inheriting the version or using version expressions should not be supported.   It has been implemented that way for remote parent resolution as it got   introduced in Maven 3.2.2. For local parent resolution the version in parent   declarations had been ignored completely as of Maven 3.3.0 due to commit   be3fb200326208ca4b8c41ebf16d5ae6b8049792 removing all local parent version   validation. Work on fixing this is tracked by MNG-5840 released with Maven   3.3.9. This commit adds the final missing bits to make local and remote parent   resolution behave the same way as much as possible. As an exception  remote   parent resolution still is a bit more strict than local parent resolution due   to a different API in use. When resolving a parent from a repository using   version ranges  the ModelBuilder verifies the range in use to declare an upper   bound. When resolving a parent locally using version ranges  those ranges are   not required to declare an upper bound because the API in use does not support   querying that. Authoring a POM relying on this difference should be considered   a bug. o Added test cases to maven-core testing parent version range resolution for   local and remote parent models. ,Christian Schulte,commit
f4e07acbc2a496a8866b8270e7f7a9fd44085f71,Fri Feb 10 00:00:00 EST 2017,Squashed commit of the following: commit f3f981022f9157e9d74a9d9dfef7ae102c4d0593 Author: rfscholte <rfscholte@apache.org> Date:   Thu Feb 9 11:00:17 2017 +0100     [MNG-6109] PluginDescriptor doesn't read since value of parameter     There's no specific IT  just a unittest  so itBranch should stay on master commit 862e8e4e3a2b857eeeb4761a1568c15ebb442932 Author: rfscholte <rfscholte@apache.org> Date:   Wed Feb 8 21:55:30 2017 +0100     [MNG-6109] PluginDescriptor doesn't read since value of parameter commit 76b539ecf2733b2a8564c18581d60176dc0185a3 Author: rfscholte <rfscholte@apache.org> Date:   Mon Oct 31 21:05:28 2016 +0100     PluginDescriptor doesn't read since value of parameter ,rfscholte,commit
