issue_id,issue_resolved_date,issue_resolution,issue_content,issue_priority,issue_assignee,issue_assignee_username,issue_created_date,issue_summary,issue_status,issue_type
MNG-1404,Wed Nov 16 00:00:00 EST 2005,Fixed,When a pom is invalid the error message should identify the problem. For example  in the POM below the closing "dependencies" element is misspelled  yet the error messages is only: &#91;WARNING&#93; POM for: 'springframework:spring:pom:1.2.6' does not appear to &gt; be valid. Its will be ignored for artifact resolution. &gt; Reason: Parse error reading POM &gt; &#91;DEBUG&#93;   springframework:spring:jar:1.2.6 (selected for compile) &lt;project&gt; &gt;   &lt;modelVersion&gt;4.0.0&lt;/modelVersion&gt; &gt;   &lt;groupId&gt;springframework&lt;/groupId&gt; &gt;   &lt;artifactId&gt;spring&lt;/artifactId&gt; &gt;   &lt;!-- Really 1.2.6-SNAPSHOT --&gt; &gt;   &lt;version&gt;1.2.6&lt;/version&gt; &gt; &gt;   &lt;dependencies&gt; &gt;     &lt;dependency&gt; &gt;       &lt;groupId&gt;commons-logging&lt;/groupId&gt; &gt;       &lt;artifactId&gt;commons-logging&lt;/artifactId&gt; &gt;       &lt;version&gt;1.0.4&lt;/version&gt; &gt;       &lt;scope&gt;compile&lt;/scope&gt; &gt;     &lt;/dependency&gt; &gt;   &lt;/depenencies&gt; &gt; &gt; &lt;/project&gt;,Major,John Casey,jdcasey,Wed Nov 02 00:00:00 EST 2005,[MNG-1404] Provide informative messages when POM is invalid,Closed,improvement
MNG-141,Thu Feb 17 00:00:00 EST 2005,Fixed,need to add feedback handlers to wagon so that you can see the download progress.,Blocker,Brett Porter,brettporter,Wed Feb 09 00:00:00 EST 2005,[MNG-141] add download feedback,Closed,improvement
MNG-1416,Fri Nov 18 00:00:00 EST 2005,Fixed,I had trouble figuring out how to set properties in settings.xml  so I'm including a patch to the documentation.   Essentially  I added to following to the description of the properties element: Contents take the form of &lt;property.name&gt;property.value&lt;/property.name&gt;,Minor,Jason van Zyl,jvanzyl,Thu Nov 03 00:00:00 EST 2005,[MNG-1416] Patch:  Small addition to Settings.xml documentation,Closed,improvement
MNG-1427,Thu Nov 17 00:00:00 EST 2005,Fixed,"Dependency Scope" used to be documented on this page (http://maven.apache.org/maven2/dependency-mechanism.html) but does not exist in the new site.,Major,null,null,Fri Nov 04 00:00:00 EST 2005,[MNG-1427] "Dependency Scope" not documented in the new site,Closed,improvement
MNG-145,Thu May 05 00:00:00 EDT 2005,Fixed,this probably relates to repository work as much as Maven work. Currently  if users wish to use a mirror of ibiblio  they specify that as an alternative remote repository. In m1  this causes a problem because if you add a new repository not equivalent to that in your project  it is not in the build.properties. In m2  they are all added to the list  so the mirror will be used first  but the others may also be checked. This is better  but still requires the user specify it in their configuration and it may be used on projects it is never needed for. It would be good if we could have a repository descriptor at the base of the repository that lists mirrors. On first use of the repository  the user could be prompted to select any mirrors they'd like to use  and it can be saved in their configuration for that repository ID. That way any project listing ibiblio as a repository could actually use  say  planetmirror instead (and fall back to ibiblio last).,Major,Brett Porter,brettporter,Wed Feb 16 00:00:00 EST 2005,[MNG-145] built in notion of a mirror repository,Closed,improvement
MNG-1479,Thu Mar 09 00:00:00 EST 2006,Fixed,Besides the multi-module doc  my experience wishes for the POM entry descriptions - some are too vague.  More detail (what is it for/why would you use it  how to use it)  examples  valid values  etc. would help a lot. I think the project descriptor has big potential as a solid reference vehicle  with the added info.  I would value that more than many of the "guides". For a simple example  the &lt;packaging&gt; element doesn't describe valid values  so a search begins to learn them.  Viewing the schema doesn't help  as the packaging type is "string".  Additionally  I think the phrase "type of artifact" is not intuitive to newbies  so listing the valid values would bring contextual explanation  as well as their definition. (from http://mail-archives.apache.org/mod_mbox/maven-users/200511.mbox/%3c1131545979.18047.488.camel@localhost.localdomain%3e),Major,Brett Porter,brettporter,Wed Nov 09 00:00:00 EST 2005,[MNG-1479] Improve pom annotations to create a great reference,Closed,improvement
MNG-1493,Tue Feb 05 00:00:00 EST 2008,Fixed,Command line version of Maven 2 supports POMs with a different name using the -f option. Unfortunately such POMs cannot be used as modules  since the value of the module tag is defined as a directory to another pom.xml instead of a pathname to another POM. Only if the value is not already an existing file the value should be treated as directory with a present pom.xml file. Similar situation applies to the relativePath element of the parent tag. This makes the generation of different artifacts from the same sources (with some modifications) much more easy. Currently you will have to put the POMs in separate directories and modify the sourec location into another module.,Minor,John Casey,jdcasey,Thu Nov 10 00:00:00 EST 2005,[MNG-1493] Support in multiproject environment modules with different named POMs,Closed,improvement
MNG-1497,Thu Nov 02 00:00:00 EST 2006,Fixed,The Maven Directory Layout page (http://maven.apache.org/reference/dirlayout.html) notes for the "src" directory that "The code may be placed into separate source code directories by language  as in src/java/ and src/php/ for source code in the Java and PHP languages respectively. The separation into directories according to function (src/share  src/core  src/web) is currently not supported by Maven. It is highly recommended that sub-directories be used under src/." The Maven Conventions Page (http://maven.apache.org/reference/conventions.html) advises that projects should follow another directory structure: src/main/$LANGUAGE  src/test/$LANGUAGE  src/site/xdocs  etc.  To me this seems to contradict the statement that Maven doesn't support separation into directories according to function.  The examples given of structures to avoid (src/core and src/web) match closely to what's encouraged elsewhere (src/main and src/site). The directory layout page is marked as being for v1.0.2  but the conventions page is not marked with a version.  If the conventions are different for different versions  clearer labeling is needed.  If the conventions are constant across versions  then the documentation should be changed so that it is not contradicting itself.,Minor,null,null,Wed Aug 17 00:00:00 EDT 2005,[MNG-1497] remove old html files from the site,Closed,improvement
MNG-1498,Thu Mar 22 00:00:00 EDT 2007,Fixed,Maven's mailing list page (http://maven.apache.org/mail-lists.html) currently lists only the user and dev lists. I think it would be more useful for new users if this page listed all maven-related mailing lists (even though some lists belong to sub-projects  such as Wagon and SCM).,Minor,null,null,Fri Oct 15 00:00:00 EDT 2004,[MNG-1498] [PATCH] Add all mailing lists to Maven's main site,Closed,improvement
MNG-15,Wed May 12 00:00:00 EDT 2004,Fixed,empty,Major,null,null,Sat May 08 00:00:00 EDT 2004,[MNG-15] Generate the plugin.xml from @tags in the plugin,Closed,improvement
MNG-1500,Tue Jan 08 00:00:00 EST 2008,Fixed,empty,Major,Siveton Vincent,siveton,Thu Nov 10 00:00:00 EST 2005,[MNG-1500] document the running of a single test or group of tests using the -Dtest=FooTest option,Closed,improvement
MNG-1502,Fri Nov 18 00:00:00 EST 2005,Fixed,Hi    Since this is a common occurence especially for new users  it might be beneficial including a FAQ entry similar to the following: ================= Why am I getting a "&lt;plugin name&gt; does not exist or no valid version" error? This means that Maven is unable to access the required plugin from your local repository  and unable to access the official or 'central' Maven2 plugin repository. You may troubleshoot the problem by performing the following actions: &lt;ul&gt; &lt;li&gt; If you are behind a http proxy  please check the Maven2 &lt;a href="http://maven.apache.org/guides/mini/guide-proxies.html"&gt;proxy settings guide&lt;/a&gt;. &lt;/li&gt; &lt;li&gt; If the plugin you seek cannot be redistributed freely then you may &lt;a href="http://maven.apache.org/guides/mini/guide-coping-with-sun-jars.html"&gt;add it manually&lt;/a&gt; to your repository. &lt;/li&gt; &lt;/ul&gt; If the problem still persists you may seek help from the Maven user list  or &lt;a href="http://jira.codehaus.org/browse/MNG"&gt;log a ticket&lt;/a&gt; describing your problem. =================,Major,null,null,Thu Nov 10 00:00:00 EST 2005,[MNG-1502] FAQ submission: Missing plugin,Closed,improvement
MNG-1508,Thu Nov 02 00:00:00 EST 2006,Fixed,The compile phase has a process-classes phase after it to do instrumentation.  The test-compile phase should have a similar phase after it also.,Major,kenneyw,kenneyw,Thu Nov 10 00:00:00 EST 2005,[MNG-1508] Need a process-test-classes phase,Closed,improvement
MNG-1530,Wed May 24 00:00:00 EDT 2006,Fixed,A simple mvn plugins that converts a maven 1 project.xml to a maven 2 pom.xml. Apart from the pom v3 to v4 conversion it also adds specific plugin configurations to pom.xml from project.properties (there are a few samples for some compiler  surefire  war settings and it can be easily extended). After installing it using mvn:install you can run "mvn maven1:convert" on maven 1 project for a quick start on maven 2. Note: the org.apache.maven.model.v3_0_0.* classes are actually embedded in the plugin due to MNG-1436 and MAVENUPLOAD-583 If there is interest in this I can commit it to svn  please comment/vote here. ,Minor,Carlos Sanchez,carlos,Sat Nov 12 00:00:00 EST 2005,[MNG-1530] Converter for maven 1 projects,Closed,improvement
MNG-1540,Wed Oct 25 00:00:00 EDT 2006,Fixed, ,Critical,Jason van Zyl,jvanzyl,Sat Nov 12 00:00:00 EST 2005,[MNG-1540] ability to categorise guides in the maven site,Closed,improvement
MNG-1550,Tue Dec 06 00:00:00 EST 2005,Fixed,when a file is downloaded  the checksum is verified  but not saved in the local repository. It should also be copied when the download was valid and the checksum succeeded.,Major,John Casey,jdcasey,Sun Nov 13 00:00:00 EST 2005,[MNG-1550] save checksum in local repository,Closed,improvement
MNG-1560,Thu Nov 09 00:00:00 EST 2006,Fixed,The attachment describes a way (in APT format) to use a remote repository through HTTPS with client-side certificate authentication. This may be useful in corporate or private development settings.,Minor,Siveton Vincent,siveton,Mon Nov 14 00:00:00 EST 2005,[MNG-1560] Guide to accessing repository with https client authentication,Closed,improvement
MNG-1563,Sun Jan 19 00:00:00 EST 2014,Fixed,There doesn't seem to be a guide about either testing or integration testing. It would be nice to see two guides: plain vanilla junit tests:   how to write a simple one that will run in m2   how to write one that uses the test suite API integration testing:   test building e.g. plugin that does code generation   test resulting application e.g. command-line app or gui   test deployment e.g. to a test web service container I have no idea what of this is currently implemented or even possible using mvn  but then the documentation isn't giving my wishes any boundaries either...,Major,null,null,Mon Nov 14 00:00:00 EST 2005,[MNG-1563] how to write integration tests,Closed,improvement
MNG-1564,Thu Nov 17 00:00:00 EST 2005,Fixed,This issue is being used to manage an update to the content of the maven-release plugin mini guide  "Guide to Releasing".   The mini guide content has been extended to provide more examples and explainations to the use of the maven-release plugin.  Over the last couple of weeks I have been posting questions about the plugin as result did not want to lose the understanding. First time contributing and so feedback is always cool. The included file has modified the following site project file http://svn.apache.org/viewcvs.cgi/maven/site/trunk/src/site/apt/guides/mini/\guide-releasing.apt,Major,Jason van Zyl,jvanzyl,Mon Nov 14 00:00:00 EST 2005,[MNG-1564] Content update to maven-release mini guide,Closed,improvement
MNG-157,Tue Apr 26 00:00:00 EDT 2005,Fixed,example: many of the mojo's have identical parameters in the modello plugin. They could all be declared on the abstract modello mojo instead.,Major,John Casey,jdcasey,Sun Feb 27 00:00:00 EST 2005,[MNG-157] java mojo extractor should search extended classes for annotations,Closed,improvement
MNG-1582,Thu Jan 10 00:00:00 EST 2008,Fixed,guide to convert pregoals and postgoals to lifecycle give a pointer to the integration test that covers lifecycle as a example ,Major,Siveton Vincent,siveton,Tue Nov 15 00:00:00 EST 2005,[MNG-1582] Add how to convert pregoals and postgoals to lifecycle to the m1-m2 guide,Closed,improvement
MNG-1594,Fri Nov 18 00:00:00 EST 2005,Fixed, ,Minor,Jason van Zyl,jvanzyl,Thu Nov 17 00:00:00 EST 2005,[MNG-1594] Update sun jars guide,Closed,improvement
MNG-1621,Fri Nov 18 00:00:00 EST 2005,Fixed,The documentation under the URL "guides/introduction/introduction-to-dependency-mechanism.html" should explain the system scope. I'll propose a patch which updates the guide accordingly. The table describing the relationships between the different scope is NOT updated by the patch.,Minor,Jason van Zyl,jvanzyl,Fri Nov 18 00:00:00 EST 2005,[MNG-1621] Explain system scope for dependencies,Closed,improvement
MNG-1629,Mon Nov 21 00:00:00 EST 2005,Fixed, http://maven.apache.org/guides/mini/guide-creating-archetypes.html Section 1  &lt;groupId&gt;my.groupId&lt;groupId&gt; Tag not terminated. ,Trivial,Brett Porter,brettporter,Sat Nov 19 00:00:00 EST 2005,[MNG-1629] <groupId> tag not terminated in archetype creation example,Closed,improvement
MNG-1644,Fri Dec 16 00:00:00 EST 2005,Fixed,Though it's a stupid thing to do  if you define  &lt;project&gt;   &lt;parent&gt;     &lt;groupId&gt;excalibur&lt;/groupId&gt;     &lt;artifactId&gt;excalibur&lt;/artifactId&gt;     &lt;version&gt;1.0&lt;/version&gt;   &lt;/parent&gt;   &lt;modelVersion&gt;4.0.0&lt;/modelVersion&gt;   &lt;groupId&gt;excalibur&lt;/groupId&gt;   &lt;artifactId&gt;excalibur&lt;/artifactId&gt;   &lt;version&gt;1.0&lt;/version&gt;   &lt;name&gt;Excalibur Components&lt;/name&gt;   &lt;packaging&gt;pom&lt;/packaging&gt;   &lt;modules&gt;  .. ... &lt;/project&gt; you get :  d:\src\excalibur-trunk&gt;mvn &#91;INFO&#93; Scanning for projects... &#91;INFO&#93; ---------------------------------------------------------------------------- &#91;ERROR&#93; FATAL ERROR &#91;INFO&#93; ---------------------------------------------------------------------------- &#91;INFO&#93; null &#91;INFO&#93; ---------------------------------------------------------------------------- &#91;INFO&#93; Trace java.lang.StackOverflowError &#91;INFO&#93; ---------------------------------------------------------------------------- &#91;INFO&#93; Total time: 1 second &#91;INFO&#93; Finished at: Mon Nov 21 18:29:03 CET 2005 &#91;INFO&#93; Final Memory: 1M/4M &#91;INFO&#93; ---------------------------------------------------------------------------- A better error message would be nice here.,Major,Edwin Punzalan,elpunzalan,Mon Nov 21 00:00:00 EST 2005,[MNG-1644] parent pom = child pom results in stack overflow error,Closed,improvement
MNG-166,Tue Mar 08 00:00:00 EST 2005,Fixed,add the scope parameter that can be one of: build  compile  runtime  test. transitive resolution will result in "compile" becoming "runtime"  but all others remaining the same. move classpath addition to maven-artifact and utilise it depending on scope.,Major,Brett Porter,brettporter,Mon Mar 07 00:00:00 EST 2005,[MNG-166] add depedency scope handling,Closed,improvement
MNG-1686,Mon Mar 06 00:00:00 EST 2006,Fixed,The introduction to repositories now has a section  which reference another page  regarding how to set up a mirror for the central repository  which was a common question on the user-list when ibiblio was down. This page also had several copy-and-paste errors  where the text probably originated from an xdoc. Bits of regular html-code had slipped in  making the generated page look rather silly  as you can see on the currently deployed site:   http://maven.apache.org/guides/introduction/introduction-to-repositories.html I have also fixed some small errors on various other pages.,Major,Brett Porter,brettporter,Fri Nov 25 00:00:00 EST 2005,[MNG-1686] Updates to the site  in particular introduction-to-repositories,Closed,improvement
